picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//files-asset/51078345/picture_for_profile.jpg,Michael Ajao-Olarinoye,https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye,Research Centre for Computational Science and Mathematical Modelling,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-computational-science-and-mathematical-modell
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Titilope Ajepe,https://pureportal.coventry.ac.uk/en/persons/titilope-ajepe-2,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Fatai Olanrewaju Ajidagba,https://pureportal.coventry.ac.uk/en/persons/fatai-olanrewaju-ajidagba,Research Centre for Financial & Corporate Integrity,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-financial-corporate-integrity-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Toluwanimi Akaehomen,https://pureportal.coventry.ac.uk/en/persons/toluwanimi-akaehomen,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Nurgul Akhtanova,https://pureportal.coventry.ac.uk/en/persons/nurgul-akhtanova,Research Centre for Financial & Corporate Integrity,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-financial-corporate-integrity-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Khwaja Zia Akhtar,https://pureportal.coventry.ac.uk/en/persons/khwaja-zia-akhtar,Research Centre for Financial & Corporate Integrity,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-financial-corporate-integrity-2
https://pureportal.coventry.ac.uk//files-asset/52660001/photo_Cov.JPG,Damilola Akinniyi,https://pureportal.coventry.ac.uk/en/persons/damilola-akinniyi,"School of Energy, Construction and Environment",https://pureportal.coventry.ac.uk/en/organisations/school-of-energy-construction-and-environment
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Opeoluwa Akinseloyin,https://pureportal.coventry.ac.uk/en/persons/opeoluwa-akinseloyin,Research Centre for Computational Science and Mathematical Modelling,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-computational-science-and-mathematical-modell
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Josiah Akintunde,https://pureportal.coventry.ac.uk/en/persons/josiah-akintunde-2,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sule Akkoyunlu,https://pureportal.coventry.ac.uk/en/persons/sule-akkoyunlu,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,George Akomas,https://pureportal.coventry.ac.uk/en/persons/george-akomas,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Michail Akritidis,https://pureportal.coventry.ac.uk/en/persons/michail-akritidis,Research Centre for Fluid and Complex Systems,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-fluid-and-complex-systems
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,NANA Akuoko,https://pureportal.coventry.ac.uk/en/persons/nana-akuoko-2,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Adewale Alabi,https://pureportal.coventry.ac.uk/en/persons/adewale-alabi,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Isaac Alade,https://pureportal.coventry.ac.uk/en/persons/isaac-alade,School of Strategy and Leadership,https://pureportal.coventry.ac.uk/en/organisations/school-of-strategy-and-leadership
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Shahzad Alam,https://pureportal.coventry.ac.uk/en/persons/shahzad-alam,Centre for Future Transport and Cities,https://pureportal.coventry.ac.uk/en/organisations/centre-for-future-transport-and-cities
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Lara Alamad,https://pureportal.coventry.ac.uk/en/persons/lara-alamad,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/44908791/SA_Pic.jpg,Samir Alamad,https://pureportal.coventry.ac.uk/en/persons/samir-alamad,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//files-asset/55760011/photo_2022_09_04_19_03_05.jpg,Mahsa Alami Fariman,https://pureportal.coventry.ac.uk/en/persons/mahsa-alami-fariman,"School of Energy, Construction and Environment",https://pureportal.coventry.ac.uk/en/organisations/school-of-energy-construction-and-environment
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Saif Faris Ahmad Alatrash,https://pureportal.coventry.ac.uk/en/persons/saif-faris-ahmad-alatrash,Research Centre in Postdigital Cultures,https://pureportal.coventry.ac.uk/en/organisations/research-centre-in-postdigital-cultures
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Khalid Ali Ahmad Mohammed Alawar,https://pureportal.coventry.ac.uk/en/persons/khalid-ali-ahmad-mohammed-alawar,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Manal A I Al Badawi Hashaykeh,https://pureportal.coventry.ac.uk/en/persons/manal-a-i-al-badawi-hashaykeh,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Nahla Juma Khamis Al Balushi,https://pureportal.coventry.ac.uk/en/persons/nahla-juma-khamis-al-balushi,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//files-asset/112678/photo.jpeg,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/organisations/faculty-of-engineering-environment-computing
